Semester	Batch	Branch	Category	Course Code	Course Name	Credits	LTPC	Slots	Total IC	Total DC	Total IC+DC
3	B25	BE	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	5	16	21
3	B25	EP	IC	IC272	Machine Learning	3	3-0-0-3	D	5	10	15
3	B25	EP	DC	EP301	Engineering Mathematics 2	4	4-0-0-4	C	5	10	15
3	B25	EP	DC	EP321	Foundations of Electrodynamics	3	3-0-0-3	E	5	10	15
3	B25	EP	DC	PH301	Quantum Mechanics and Applications	3	3-0-0-3	G	5	10	15
3	B25	EP	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	5	10	15
3	B25	MNC	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	15	23
3	B25	MNC	IC	IC272	Machine Learning	3	3-0-0-3	D	8	15	23
3	B25	MNC	DC	CS208	Mathematical Foundations of Computer Science	4	4-0-0-4	B	8	15	23
3	B25	MNC	DC	MA210	Real and Complex Analysis	3	3-0-0-3	A	8	15	23
3	B25	MNC	DC	MA211	Ordinary Differential Equations	4	4-0-0-4	FS3	8	15	23
3	B25	MNC	DC	MA312	Design of Algorithms	4	4-0-0-4	G & L1	8	15	23
3	B25	MNC	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	15	23
3	B25	MSE	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	16	24
3	B25	MSE	IC	IC272	Machine Learning	3	3-0-0-3	D	8	16	24
3	B25	MSE	DC	MT201	Physics of Solids	3	3-0-0-3	A	8	16	24
3	B25	MSE	DC	MT202	Quantum Mechanics and Applications	3	3-0-0-3	F	8	16	24
3	B25	MSE	DC	MT203	Material Synthesis and Characterisation	4	4-0-0-4	G	8	16	24
3	B25	MSE	DC	ME206	Mechanics of Solids	3	3-0-0-3	E	8	16	24
3	B25	MSE	DC	ME212	Product Realization (Manufacturing) Technology	3	3-0-0-3	C	8	16	24
3	B25	MSE	IC	IC222P	Physics Practicum	2	2-0-0-2	LS1, LS2,LS3, LS4	8	16	24
3	B25	GE-ROBO	IC	IC202P	Design Practicum	3	3-0-0-3	A	8	9	17
